"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2445","Check leave entitlements are displayed per leave type","chromium","2026-09-18","passed","2026-09-18","Leave Management Tests","leave/leave-management.spec.ts","",""
"","3628","Navigate to PIM module","chromium","2026-09-18","passed","2026-09-18","Employee Management Tests","employees/employee-management.spec.ts","",""
"","1074","Empty username → validation message","chromium","2026-09-18","passed","2026-09-18","Authentication Tests","auth/login.spec.ts","",""
"","6310","Edit employee personal details → save → verify update","chromium","2026-09-18","passed","2026-09-18","Employee Management Tests","employees/employee-management.spec.ts","",""
"","2589","Verify leave requests appear in My Leave list","chromium","2026-09-18","passed","2026-09-18","Leave Management Tests","leave/leave-management.spec.ts","",""
"","6440","Add new employee","chromium","2026-09-18","passed","2026-09-18","Employee Management Tests","employees/employee-management.spec.ts","",""
"","9335","Search for employee by name → verify result","chromium","2026-09-18","passed","2026-09-18","Employee Management Tests","employees/employee-management.spec.ts","",""
"","2084","Invalid password → error message appears","chromium","2026-09-18","passed","2026-09-18","Authentication Tests","auth/login.spec.ts","",""
"","7477","Verify employee count increases after addition","chromium","2026-09-18","passed","2026-09-18","Employee Management Tests","employees/employee-management.spec.ts","",""
"","3029","Cancel a pending leave request","chromium","2026-09-18","passed","2026-09-18","Leave Management Tests","leave/leave-management.spec.ts","",""
"","6409","Delete a vacancy","chromium","2026-09-18","passed","2026-09-18","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","3617","Apply for leave (or verify leave balance status)","chromium","2026-09-18","passed","2026-09-18","Leave Management Tests","leave/leave-management.spec.ts","",""
"","6797","Verify vacancy appears in the list","chromium","2026-09-18","passed","2026-09-18","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","2402","Valid credentials → lands on dashboard","chromium","2026-09-18","passed","2026-09-18","Authentication Tests","auth/login.spec.ts","",""
"","5909","Add a new job vacancy","chromium","2026-09-18","passed","2026-09-18","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","1036","Empty password → validation message","chromium","2026-09-18","passed","2026-09-18","Authentication Tests","auth/login.spec.ts","",""
"","2771","Successful logout → redirects to login page","chromium","2026-09-18","passed","2026-09-18","Authentication Tests","auth/login.spec.ts","",""
"","7404","Edit a vacancy","chromium","2026-09-18","passed","2026-09-18","Recruitment Tests","recruitment/recruitment.spec.ts","",""
